cve,announce_date,cwe_ids,cwe_names,subject
CVE-2026-13713,"16 Jul 2026 22:02 UTC",CWE-416;CWE-415,"Use After Free;Double Free","CVE-2026-13713: YAML::Syck versions before 1.47 for Perl allow a use-after-free and double-free via an anchor node freed while still on the parser value stack"
CVE-2026-57075,"16 Jul 2026 22:04 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-57075: YAML::Syck versions before 1.47 for Perl allow an out-of-bounds read via a signed-char lookup-table index in syck_base64dec"
CVE-2026-57076,"16 Jul 2026 22:05 UTC",CWE-416,"Use After Free","CVE-2026-57076: YAML::Syck versions before 1.47 for Perl allow a heap use-after-free via an anchor name reused as an anchors-table key in syck_hdlr_add_anchor"
CVE-2026-57077,"16 Jul 2026 22:06 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-57077: YAML::Syck versions before 1.47 for Perl allow an out-of-bounds read via an unbounded newline scan in newline_len"
CVE-2026-46719,"16 May 2026 13:39 UTC",CWE-93,"Improper Neutralization of CRLF Sequences","CVE-2026-46719: Net::Statsd::Lite versions before 0.9.0 for Perl allowed metric injections"
CVE-2026-13410,"17 Jul 2026 12:51 UTC",CWE-295,"Improper Certificate Validation","CVE-2026-13410: Dancer::Plugin::Auth::Google versions through 0.07 for Perl have TLS verification disabled"
CVE-2026-13082,"17 Jul 2026 12:55 UTC",CWE-338;CWE-804,"Use of Cryptographically Weak Pseudo-Random Number Generator;Guessable CAPTCHA","CVE-2026-13082: GD::SecurityImage versions through 1.75 for Perl use rand to generate secrets"
CVE-2026-14741,"17 Jul 2026 15:21 UTC",CWE-1333,"Inefficient Regular Expression Complexity","CVE-2026-14741: HTTP::Date versions before 6.08 for Perl allow CPU exhaustion via polynomial regex backtracking in parse_date"
CVE-2026-9537,"17 Jul 2026 15:31 UTC",CWE-208,"Observable Timing Discrepancy","CVE-2026-9537: Mojo::JWT versions before 1.02 for Perl verify HMAC signatures with a non-constant-time string comparison"
CVE-2026-46720,"17 May 2026 17:55 UTC",CWE-93,"Improper Neutralization of CRLF Sequences","CVE-2026-46720: Net::Statsd::Tiny versions before 0.3.8 for Perl allowed metric injections"
CVE-2026-8507,"17 May 2026 18:44 UTC",CWE-787,"Out-of-bounds Write","CVE-2026-8507: Crypt::OpenSSL::PKCS12 versions through 1.94 for Perl have out of bound (OOB) write flaws"
CVE-2026-8721,"17 May 2026 18:50 UTC",CWE-170,"Improper Null Termination","CVE-2026-8721: Crypt::OpenSSL::PKCS12 versions through 1.94 for Perl truncates passwords with embedded NULLs"
CVE-2026-73639,"17 Sep 2026 21:25 UTC",CWE-787,"Out-of-bounds Write","CVE-2026-73639: Imager::File::PNG versions from 1.003 before 1.004 for Perl write past the end of the row buffer reading a PNG with a tRNS transparency chunk in read_direct8"
CVE-2026-73638,"17 Sep 2026 21:27 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-73638: Imager versions from 0.45_02 before 1.035 for Perl read outside the EXIF block via unchecked start offsets in tiff_load_ifd"
CVE-2026-9692,"18 Jun 2026 17:54 UTC",CWE-340;CWE-338,"Generation of Predictable Numbers or Identifiers;Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-9692: Mojolicious::Sessions::Storable versions through 0.05 for Perl generate session ids insecurely"
CVE-2026-8788,"18 May 2026 06:41 UTC",CWE-93,"Improper Neutralization of CRLF Sequences","CVE-2026-8788: Net::Statsd::Lite versions through 0.10.0 for Perl allowed metric injections"
CVE-2026-72889,"19 Aug 2026 07:23 UTC",CWE-347;CWE-757,"Improper Verification of Cryptographic Signature;Selection of Less-Secure Algorithm During Negotiation","CVE-2026-72889: Net::OAuth versions before 0.33 for Perl allow the sender to choose the signature algorithm in verify"
CVE-2026-75589,"19 Aug 2026 07:24 UTC",CWE-208,"Observable Timing Discrepancy","CVE-2026-75589: Net::OAuth versions before 0.33 for Perl check HMAC-SHA1, HMAC-SHA256 and PLAINTEXT signatures with a non-constant-time comparison in verify"
CVE-2026-5090,"19 May 2026 21:32 UTC",CWE-79,"Improper Neutralization of Input During Web Page Generation","CVE-2026-5090: Template::Plugin::HTML versions through 3.102 for Perl allows HTML and JavaScript to be injected"
CVE-2026-75628,"20 Aug 2026 00:43 UTC",CWE-601,"URL Redirection to Untrusted Site ('Open Redirect')","CVE-2026-75628: Punk::OAuth2 versions before 0.03 for Perl allow an attacker-chosen off-site redirect after login because same_origin_path accepts a backslash or tab in the return parameter"
CVE-2026-15743,"20 Aug 2026 18:16 UTC",CWE-524,"Use of Cache Containing Sensitive Information","CVE-2026-15743: Catalyst::Plugin::Static::Simple versions through 0.38 for Perl mark responses as publicly cacheable"
CVE-2026-16235,"20 Jul 2026 07:04 UTC",CWE-338,"Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-16235: Crypt::Password versions through 0.28 for Perl generate insecure random values for salts"
CVE-2026-6656,"20 Jul 2026 07:05 UTC",CWE-208,"Observable Timing Discrepancy","CVE-2026-6656: Crypt::Password versions through 0.28 for Perl are susceptible to timing attacks"
CVE-2026-13577,"20 Jul 2026 07:12 UTC",CWE-340;CWE-338,"Generation of Predictable Numbers or Identifiers;Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-13577: Dancer2 versions through 2.1.0 for Perl generate insecure session ids when CSPRNG modules are unavailable"
CVE-2026-64193,"20 Jul 2026 17:56 UTC",CWE-95,"Improper Neutralization of Directives in Dynamically Evaluated","CVE-2026-64193: Net::DNS versions through 1.55 for Perl allow remote execution injection via EDNS EXTENDED ERROR"
CVE-2026-64194,"20 Jul 2026 17:56 UTC",CWE-674,"Uncontrolled Recursion","CVE-2026-64194: Net::DNS versions through 1.55 for Perl allow Denial of Service via deep DNS compression pointer chains"
CVE-2026-9265,"20 Jun 2026 01:00 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-9265: Crypt::OpenSSL::PKCS12 versions before 1.96 for Perl permits a heap OOB read in print_attribute UTF8STRING path"
CVE-2026-47373,"20 May 2026 20:27 UTC",CWE-208,"Observable Timing Discrepancy","CVE-2026-47373: Crypt::SaltedHash versions through 0.09 for Perl is susceptible to timing attacks"
CVE-2026-47372,"20 May 2026 22:09 UTC",CWE-338,"Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-47372: Crypt::SaltedHash versions through 0.09 for Perl generate insecure random values for salts"
CVE-2026-77781,"21 Aug 2026 23:59 UTC",CWE-248,"Uncaught Exception","CVE-2026-77781: Tie::Hash::Regex versions before 2.0.0 for Perl will throw an exception on unparseable lookup keys"
CVE-2026-65069,"21 Jul 2026 19:14 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-65069: Data::DisjointSet::Shared versions before 0.02 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-65068,"21 Jul 2026 19:15 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-65068: Data::SpatialHash::Shared versions before 0.02 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-65066,"21 Jul 2026 19:16 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-65066: Data::RingBuffer::Shared versions before 0.04 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-65067,"21 Jul 2026 19:16 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-65067: Data::Intern::Shared versions before 0.02 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-65064,"21 Jul 2026 19:18 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-65064: Data::HashMap::Shared versions before 0.14 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-65065,"21 Jul 2026 19:18 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-65065: Data::RoaringBitmap::Shared versions before 0.02 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-65062,"21 Jul 2026 19:19 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-65062: Data::SortedSet::Shared versions before 0.03 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-65063,"21 Jul 2026 19:19 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-65063: Data::RadixTree::Shared versions before 0.02 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-65061,"21 Jul 2026 19:20 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-65061: Data::ReqRep::Shared versions before 0.05 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-64617,"21 Jul 2026 19:21 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-64617: Data::PubSub::Shared versions before 0.07 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-64616,"21 Jul 2026 19:22 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-64616: Data::NDArray::Shared versions before 0.02 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-64615,"21 Jul 2026 19:23 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-64615: Data::Graph::Shared versions before 0.04 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-64613,"21 Jul 2026 19:24 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-64613: Data::Buffer::Shared versions before 0.05 for Perl create a world-readable mmap backing file and open it without O_NOFOLLOW"
CVE-2026-64614,"21 Jul 2026 19:24 UTC",CWE-732;CWE-59,"Incorrect Permission Assignment for Critical Resource;Improper Link Resolution Before File Access","CVE-2026-64614: Data::Deque::Shared versions before 0.06 for Perl create a world-readable mmap backing file and open it without O_EXCL or O_NOFOLLOW"
CVE-2026-59147,"21 Jul 2026 19:25 UTC",CWE-787;CWE-125,"Out-of-bounds Write;Out-of-bounds Read","CVE-2026-59147: Data::DisjointSet::Shared versions before 0.02 for Perl allow out-of-bounds reads and writes via an unvalidated parent index in dsu_find"
CVE-2026-59145,"21 Jul 2026 19:26 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-59145: Data::Intern::Shared versions before 0.02 for Perl allow an out-of-bounds read via unvalidated slot, reverse and arena indices in si_idx_find"
CVE-2026-59146,"21 Jul 2026 19:26 UTC",CWE-787;CWE-125,"Out-of-bounds Write;Out-of-bounds Read","CVE-2026-59146: Data::SpatialHash::Shared versions before 0.02 for Perl allow out-of-bounds reads and writes via unvalidated bucket, link and free-list indices in sph_walk_cell and sph_alloc_slot"
CVE-2026-59144,"21 Jul 2026 19:27 UTC",CWE-121,"Stack-based Buffer Overflow","CVE-2026-59144: Data::RingBuffer::Shared versions before 0.04 for Perl allow a stack buffer overflow via an unvalidated elem_size in ring_read_seq"
CVE-2026-59142,"21 Jul 2026 19:28 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-59142: Data::HashMap::Shared versions before 0.14 for Perl allow an out-of-bounds read via an unvalidated arena offset and length in shm_str_copy"
CVE-2026-59143,"21 Jul 2026 19:28 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-59143: Data::RoaringBitmap::Shared versions before 0.02 for Perl allow an out-of-bounds read via an unvalidated container offset and cardinality in rb_contains_locked"
CVE-2026-59140,"21 Jul 2026 19:29 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-59140: Data::SortedSet::Shared versions before 0.03 for Perl allow an out-of-bounds read via unvalidated node indices in the rank and min/max query paths"
CVE-2026-59141,"21 Jul 2026 19:29 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-59141: Data::RadixTree::Shared versions before 0.02 for Perl allow an out-of-bounds read via unvalidated node and arena indices in rdx_find_locked"
CVE-2026-59139,"21 Jul 2026 19:30 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-59139: Data::ReqRep::Shared versions before 0.05 for Perl allow an out-of-bounds read via an unvalidated arena offset and length in reqrep_recv_locked"
CVE-2026-46473,"21 May 2026 18:55 UTC",CWE-331,"Insufficient Entropy","CVE-2026-46473: Authen::TOTP versions before 0.1.1 for Perl generate secrets using rand"
CVE-2026-5091,"21 May 2026 21:08 UTC",CWE-208,"Observable Timing Discrepancy","CVE-2026-5091: Catalyst::Plugin::Authentication versions through 0.10024 for Perl is susceptible to timing attacks"
CVE-2026-75870,"22 Aug 2026 13:37 UTC",CWE-1394,"Use of Default Cryptographic Key","CVE-2026-75870: Punk versions before 0.18 for Perl allow session cookie forgery via an empty default HMAC key when a session is declared without a secret"
CVE-2026-75866,"22 Aug 2026 13:54 UTC",CWE-862,"Missing Authorization","CVE-2026-75866: Punk::OAuth2::Server versions through 0.03 for Perl issue access tokens outside a client's registered scopes and grant types because no authorization path reads them"
CVE-2026-13089,"22 Jul 2026 20:32 UTC",CWE-347,"Improper Verification of Cryptographic Signature","CVE-2026-13089: OIDC::Lite versions through 0.12.1 for Perl allow ID Token signature verification bypass via a token-controlled algorithm allowlist in verify"
CVE-2026-11373,"22 Jun 2026 11:32 UTC",CWE-93;CWE-150,"Improper Neutralization of CRLF Sequences;Improper Neutralization of Escape, Meta, or Control Sequences","CVE-2026-11373: Net::Statsite::Client versions through 1.1.0 for Perl allow metric injections"
CVE-2026-75922,"23 Aug 2026 18:21 UTC",CWE-444;CWE-93,"Inconsistent Interpretation of HTTP Requests;Improper Neutralization of CRLF Sequences","CVE-2026-75922: Reverse::Proxy versions before 0.04 for Perl allow HTTP request smuggling via a percent-decoded PATH_INFO written unencoded to the upstream request line"
CVE-2026-19565,"23 Aug 2026 19:19 UTC",CWE-341,"Predictable from Observable State","CVE-2026-19565: Apache::AppSamurai::Util versions through 1.01 for Perl generate predictable session authentication keys from the clock and process id in CreateSessionAuthKey"
CVE-2026-78183,"23 Aug 2026 19:55 UTC",CWE-787,"Out-of-bounds Write","CVE-2026-78183: DBD::Pg version 3.21.0 for Perl has a heap out-of-bounds write in quote_float"
CVE-2026-9733,"23 Jun 2026 07:05 UTC",CWE-340;CWE-338,"Generation of Predictable Numbers or Identifiers;Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-9733: Mojolicious::Plugin::Web::Auth::OAuth2 versions through 0.17 for Perl have an insecure default state parameter"
CVE-2026-16634,"24 Jul 2026 09:16 UTC",CWE-1104;CWE-1395,"Use of Unmaintained Third Party Components;Dependency on Vulnerable Third-Party Component","CVE-2026-16634: TOML::XS versions before 0.06 for Perl bundle an unsupported and vulnerable version of tomlc99"
CVE-2026-58586,"24 Jul 2026 15:03 UTC",CWE-1395,"Dependency on Vulnerable Third-Party Component","CVE-2026-58586: Image::WebP versions through 0.2 for Perl bundle a vulnerable version of libwebp"
CVE-2026-78619,"25 Aug 2026 21:22 UTC",CWE-305;CWE-1025,"Authentication Bypass by Primary Weakness;Comparison Using Wrong Factors","CVE-2026-78619: Punk::Plugin::TOTP versions before 0.05 for Perl accept another account's recovery code at the two-factor challenge because totp_use_recovery compares user identifiers numerically"
CVE-2026-78655,"25 Aug 2026 21:25 UTC",CWE-307;CWE-642,"Improper Restriction of Excessive Authentication Attempts;External Control of Critical State Data","CVE-2026-78655: Punk::Plugin::TOTP versions before 0.05 for Perl allow the second-factor attempt limit to be reset by replaying an earlier session cookie because the challenge route counts failures in the session"
CVE-2026-16766,"25 Jul 2026 08:13 UTC",CWE-78,"Improper Neutralization of Special Elements used in an OS","CVE-2026-16766: Catalyst::View::Wkhtmltopdf versions before 0.6.1 for Perl allow shell command injection (RCE) via PDF render options"
CVE-2026-12844,"25 Jun 2026 16:27 UTC",CWE-787;CWE-122,"Out-of-bounds Write;Heap-based Buffer Overflow","CVE-2026-12844: List::SomeUtils::XS versions before 0.59 for Perl have a heap buffer overflow in the pairwise function"
CVE-2026-8376,"25 May 2026 23:55 UTC",CWE-680,"Integer Overflow to Buffer Overflow","CVE-2026-8376: Perl versions through 5.43.10 have a heap buffer overflow when compiling regular expressions with a repeated fixed string on 32-bit builds"
CVE-2026-11625,"26 Jun 2026 08:09 UTC",CWE-335,"Incorrect Usage of Seeds in Pseudo-Random Number Generator","CVE-2026-11625: Bytes::Random::Secure versions through 0.29 for Perl share internal state across forked processes"
CVE-2026-11702,"26 Jun 2026 08:15 UTC",CWE-335,"Incorrect Usage of Seeds in Pseudo-Random Number Generator","CVE-2026-11702: Bytes::Random::Secure::Tiny versions through 1.011 for Perl share internal state across forked processes"
CVE-2026-42496,"26 May 2026 00:22 UTC",CWE-59,"Improper Link Resolution Before File Access ('Link Following')","CVE-2026-42496: Archive::Tar versions before 3.08 for Perl extract symlinks with attacker controlled targets outside the extraction directory"
CVE-2026-42497,"26 May 2026 00:25 UTC",CWE-59;CWE-732,"Improper Link Resolution Before File Access ('Link Following');Incorrect Permission Assignment for Critical Resource","CVE-2026-42497: Archive::Tar versions before 3.08 for Perl extract hardlinks to attacker controlled paths outside the extraction directory"
CVE-2026-9538,"26 May 2026 00:28 UTC",CWE-789,"Memory Allocation with Excessive Size Value","CVE-2026-9538: Archive::Tar versions before 3.10 for Perl allow memory exhaustion via attacker controlled entry size field in tar header"
CVE-2026-46740,"26 May 2026 22:49 UTC",CWE-93,"Improper Neutralization of CRLF Sequences","CVE-2026-46740: Mojolicious::Plugin::Statsd versions through 0.04 for Perl allowed metric injections"
CVE-2026-8647,"26 May 2026 22:55 UTC",CWE-338,"Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-8647: Crypt::ScryptKDF versions through 0.010 for Perl uses insecure random number source when no CSPRNG module is available"
CVE-2026-17552,"27 Jul 2026 18:11 UTC",CWE-918,"Server-Side Request Forgery (SSRF)","CVE-2026-17552: Plack::App::Prerender versions before 0.3.0 for Perl can proxy to an arbitrary host via unvalidated REQUEST_URI concatenation in call"
CVE-2025-15649,"27 May 2026 02:27 UTC",CWE-248,"Uncaught Exception","CVE-2025-15649: IO::Uncompress::Unzip versions before 2.215 for Perl propagate uncaught exception when parsing zip header with malformed DOS date"
CVE-2026-48959,"27 May 2026 02:32 UTC",CWE-407,"Inefficient Algorithmic Complexity","CVE-2026-48959: IO::Uncompress::Unzip versions before 2.220 for Perl allow CPU exhaustion via per-byte read loop in fastForward"
CVE-2026-48961,"27 May 2026 02:52 UTC",CWE-755,"Improper Handling of Exceptional Conditions","CVE-2026-48961: IO::Compress versions from 2.207 before 2.220 for Perl ship a zipdetails CLI tool that crashes with undefined subroutine on Info-ZIP Unix Extra Field with 8-byte UID or GID"
CVE-2026-48962,"27 May 2026 03:16 UTC",CWE-95,"Improper Neutralization of Directives in Dynamically Evaluated","CVE-2026-48962: IO::Compress versions before 2.220 for Perl can execute arbitrary code in File::GlobMapper via an attacker-controlled output glob"
CVE-2026-8450,"27 May 2026 04:26 UTC",CWE-78;CWE-73,"Improper Neutralization of Special Elements used in an OS;External Control of File Name or Path","CVE-2026-8450: HTTP::Daemon versions before 6.17 for Perl allow OS command injection via send_file()"
CVE-2026-9658,"28 May 2026 11:39 UTC",CWE-790;CWE-113,"Improper Filtering of Special Elements;Improper Neutralization of CRLF Sequences in HTTP Headers","CVE-2026-9658: Plack::Middleware::Security::Common versions before 0.13.1 for Perl did not block header injections in request paths"
CVE-2026-41565,"28 May 2026 14:16 UTC",CWE-121,"Stack-based Buffer Overflow","CVE-2026-41565: CryptX versions before 0.088_001 for Perl have a stack buffer overflow in four AEAD decrypt_verify helpers"
CVE-2026-56017,"29 Jun 2026 19:40 UTC",CWE-476;CWE-125,"NULL Pointer Dereference;Out-of-bounds Read","CVE-2026-56017: JavaScript::Minifier::XS versions before 0.16 for Perl crash with a NULL pointer dereference when the first meaningful token of the input is a slash"
CVE-2026-13593,"29 Jun 2026 19:41 UTC",CWE-401,"Missing Release of Memory after Effective Lifetime","CVE-2026-13593: CSS::Minifier::XS versions before 0.14 for Perl have a memory leak when the entire document is minified away"
CVE-2026-56018,"29 Jun 2026 19:41 UTC",CWE-401;CWE-400,"Missing Release of Memory after Effective Lifetime;Uncontrolled Resource Consumption","CVE-2026-56018: JavaScript::Minifier::XS versions before 0.16 for Perl leak memory on every call to minify(), allowing unbounded memory growth"
CVE-2026-13758,"29 Jun 2026 20:45 UTC",CWE-208,"Observable Timing Discrepancy","Subject: CVE-2026-13758: CryptX versions before 0.088_001 for Perl compare AEAD authentication tags in non-constant time in the streaming decrypt_done path"
CVE-2026-60074,"30 Jul 2026 13:43 UTC",CWE-1289,"Improper Validation of Unsafe Equivalence in Input","CVE-2026-60074: Date::Manip versions through 6.99 for Perl return corrupted dates via non-ASCII decimal digits that pass the numeric range tests in check"
CVE-2026-60075,"30 Jul 2026 13:44 UTC",CWE-1333,"Inefficient Regular Expression Complexity","CVE-2026-60075: Date::Manip versions through 6.99 for Perl allow CPU exhaustion via quadratic backtracking in the unanchored time substitution in _parse_time"
CVE-2026-57079,"30 Jun 2026 11:06 UTC",CWE-22,"Improper Limitation of a Pathname to a Restricted Directory","CVE-2026-57079: Net::BitTorrent versions through 2.0.1 for Perl write files outside the download directory via path traversal in peer-supplied metadata"
CVE-2026-57080,"30 Jun 2026 11:07 UTC",CWE-770;CWE-400,"Allocation of Resources Without Limits or Throttling;Uncontrolled Resource Consumption","CVE-2026-57080: Net::BitTorrent versions through 2.0.1 for Perl allow remote memory exhaustion via an uncapped peer-wire message-length prefix"
CVE-2026-57081,"30 Jun 2026 11:09 UTC",CWE-674;CWE-400,"Uncontrolled Recursion;Uncontrolled Resource Consumption","CVE-2026-57081: Net::BitTorrent versions through 2.0.1 for Perl allow remote memory exhaustion via deeply nested bencoded input"
CVE-2026-57082,"30 Jun 2026 11:10 UTC",CWE-338;CWE-330,"Use of Cryptographically Weak Pseudo-Random Number Generator;Use of Insufficiently Random Values","CVE-2026-57082: Net::BitTorrent versions through 2.0.1 for Perl generate the MSE Diffie-Hellman private key with a non-cryptographic PRNG"
CVE-2026-13766,"30 Jun 2026 11:21 UTC",CWE-89,"Improper Neutralization of Special Elements used in an SQL","CVE-2026-13766: DBIx::QuickORM versions before 0.000026 for Perl allow SQL injection via unquoted SQL identifiers"
CVE-2026-8594,"30 May 2026 15:36 UTC",CWE-405;CWE-407,"Asymmetric Resource Consumption (Amplification);Inefficient Algorithmic Complexity","CVE-2026-8594: Text::LineFold versions through 2019.001 for Perl duplicate the output based on the number of special break characters"
CVE-2026-19873,"31 Aug 2026 10:08 UTC",CWE-1284;CWE-770,"Improper Validation of Specified Quantity in Input;Allocation of Resources Without Limits or Throttling","CVE-2026-19873: HTML::FormFu versions through 2.08 for Perl allow resource exhaustion via an unbounded repeat count from the query string in Repeatable elements"
CVE-2026-19953,"31 Aug 2026 17:31 UTC",CWE-1289,"Improper Validation of Unsafe Equivalence in Input","CVE-2026-19953: URI versions before 5.36 for Perl encode non-NFC host names to non-standard punycode labels via missing normalization in nameprep"
CVE-2026-8796,"31 May 2026 19:50 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-8796: Sereal::Decoder versions before 5.005 for Perl allow heap out-of-bounds read via crafted input"
